Filename,Description,Size,Pixel Size,MD5 Checksum
04-actin-20x-noise1/actin-20x-noise1-highsnr.tif,16-bit TIFF image used for training deep learning networks in study of denoising fluorescence microscopy images - actin-20x-noise1-high,838.88 MB,325nm,50220bc3c4935dcf5b2ed7ac06384be6
04-actin-20x-noise1/actin-20x-noise1-lowsnr.tif,16-bit TIFF image used for training deep learning networks in study of denoising fluorescence microscopy images - actin-20x-noise1-low,838.88 MB,325nm,d41557e80b2fb498f74ef46b5f18ddc0
01-actin-60x-noise1/actin-60x-noise1-highsnr.tif,16-bit TIFF image used for training deep learning networks in study of denoising fluorescence microscopy images - actin-60x-noise1-high,838.88 MB,108nm,e7815252f4e47fed23bb028908185ad6
01-actin-60x-noise1/actin-60x-noise1-lowsnr.tif,16-bit TIFF image used for training deep learning networks in study of denoising fluorescence microscopy images - actin-60x-noise1-low,838.88 MB,108nm,3c0df05d92c315a33518288ee5d2e215
02-actin-60x-noise2/actin-60x-noise2-highsnr.tif,16-bit TIFF image used for training deep learning networks in study of denoising fluorescence microscopy images - actin-60x-noise2-high,838.88 MB,108nm,3c2857d56997e16109aa45837f3b02c6
02-actin-60x-noise2/actin-60x-noise2-lowsnr.tif,16-bit TIFF image used for training deep learning networks in study of denoising fluorescence microscopy images - actin-60x-noise2-low,838.88 MB,108nm,e08b4f629c3032250b9e1d1950133f7a
03-actin-confocal/actin-confocal-highsnr.tif,16-bit TIFF image used for training deep learning networks in study of denoising fluorescence microscopy images - actin-confocal-high,165.69 MB,96nm,a19f81d9bda9e351bdd0f44cbdfec839
03-actin-confocal/actin-confocal-lowsnr.tif,16-bit TIFF image used for training deep learning networks in study of denoising fluorescence microscopy images - actin-confocal-low,165.69 MB,96nm,311f22614cb8b5a8fc92e00c568119ab
06-membrane/membrane-highsnr.tif,16-bit TIFF image used for training deep learning networks in study of denoising fluorescence microscopy images - membrane-high,704.66 MB,65nm,88b8b5ab7d4cf08d0e822a5ed0d9017e
06-membrane/membrane-lowsnr.tif,16-bit TIFF image used for training deep learning networks in study of denoising fluorescence microscopy images - membrane-low,704.66 MB,65nm,76831f7362df5391f46144efb233d305
04-mito-20x-noise1/mito-20x-noise1-highsnr.tif,16-bit TIFF image used for training deep learning networks in study of denoising fluorescence microscopy images - mito-20x-noise1-high,838.88 MB,325nm,dd7fd8b079f24b4977348ae3035c72c4
04-mito-20x-noise1/mito-20x-noise1-lowsnr.tif,16-bit TIFF image used for training deep learning networks in study of denoising fluorescence microscopy images - mito-20x-noise1-low,838.88 MB,325nm,8fffe305b791dbcd401c8a9078582669
01-mito-60x-noise1/mito-60x-noise1-highsnr.tif,16-bit TIFF image used for training deep learning networks in study of denoising fluorescence microscopy images - mito-60x-noise1-high,838.88 MB,108nm,56fb09a72f7b37e2ee6ccb72cc1accf5
01-mito-60x-noise1/mito-60x-noise1-lowsnr.tif,16-bit TIFF image used for training deep learning networks in study of denoising fluorescence microscopy images - mito-60x-noise1-low,838.88 MB,108nm,b4fe797baa1860bc5e7edf4089d1c778
02-mito-60x-noise2/mito-60x-noise2-highsnr.tif,16-bit TIFF image used for training deep learning networks in study of denoising fluorescence microscopy images - mito-60x-noise2-high,838.88 MB,108nm,df72bfe00a33b661b33c8ab9d63b4492
02-mito-60x-noise2/mito-60x-noise2-lowsnr.tif,16-bit TIFF image used for training deep learning networks in study of denoising fluorescence microscopy images - mito-60x-noise2-low,838.88 MB,108nm,d2794b06ec054e61ee0a647d78089bc9
03-mito-confocal/mito-confocal-highsnr.tif,16-bit TIFF image used for training deep learning networks in study of denoising fluorescence microscopy images - mito-confocal-high,165.69 MB,96nm,7769eb723bda7e7cd17edb93a4d13670
03-mito-confocal/mito-confocal-lowsnr.tif,16-bit TIFF image used for training deep learning networks in study of denoising fluorescence microscopy images - mito-confocal-low,165.69 MB,96nm,ddd67829c3a9062fd46f4e96fe1e425
05-nucleus/nucleus-highsnr.tif,16-bit TIFF image used for training deep learning networks in study of denoising fluorescence microscopy images - nucleus-high,54.54 MB,65nm,2ce3d5e53db7b93bf1a0e4b93a433c5a
05-nucleus/nucleus-lowsnr.tif,16-bit TIFF image used for training deep learning networks in study of denoising fluorescence microscopy images - nucleus-low,54.54 MB,65nm,2d11a96e927b289af84cefd15d101fab
readme_100888.txt,Readme,8.69 kB,N/A,8866b3f4620c5ed31d5f14a3d52b3d01
